Random ID,Term,Course Abbrevation,Course Number,course,level
205827,Fall 2016,ATHL,1583,ATHL 1583,1000
205827,Spring 2017,ATHL,1583,ATHL 1583,1000
205827,Fall 2016,HIST,1228,HIST 1228,1000
205827,Spring 2017,ART,3310,ART 3310,3000
205827,Spring 2017,ART,3310,ART 3310,3000
205827,Fall 2016,CSUB,1009,CSUB 1009,1000
205827,Fall 2016,SOC,1008,SOC 1008,1000
205827,Spring 2017,SOC,1018,SOC 1018,1000
205827,Spring 2017,KINE,1515,KINE 1515,1000
205827,Fall 2016,CAFS,2000,CAFS 2000,2000
205827,Spring 2017,MATH,1009,MATH 1009,1000
205827,Spring 2017,CMPS,1200,CMPS 1200,1000
205827,Spring 2017,KINE,3340,KINE 3340,3000
205827,Spring 2017,KINE,3340,KINE 3340,3000
205827,Fall 2016,MATH,930,MATH 930,0
205827,Spring 2017,KINE,1018,KINE 1018,1000
246916,Fall 2018,ECE,1618,ECE 1618,1000
246916,Fall 2018,MATH,1050,MATH 1050,1000
246916,Fall 2018,MATH,1050,MATH 1050,1000
246916,Spring 2019,CHEM,1000,CHEM 1000,1000
246916,Fall 2018,CMPS,2010,CMPS 2010,2000
246916,Fall 2018,CMPS,2010,CMPS 2010,2000
246916,Spring 2019,ART,1009,ART 1009,1000
246916,Spring 2019,ART,1009,ART 1009,1000
246916,Spring 2019,MATH,1060,MATH 1060,1000
246916,Spring 2019,MATH,1060,MATH 1060,1000
246916,Spring 2019,ECE,1628,ECE 1628,1000
246916,Fall 2018,THTR,1009,THTR 1009,1000
246916,Fall 2018,ENGL,1109,ENGL 1109,1000
246916,Fall 2018,ECE,1618,ECE 1618,1000
246916,Spring 2019,ECE,1628,ECE 1628,1000
266054,Spring 2020,ECE,1628,ECE 1628,1000
266054,Spring 2020,ECE,1628,ECE 1628,1000
266054,Spring 2020,ENGR,2140,ENGR 2140,2000
266054,Spring 2020,ENGR,2140,ENGR 2140,2000
266054,Fall 2019,CHEM,1001,CHEM 1001,1000
266054,Fall 2019,ENGR,1618,ENGR 1618,1000
266054,Fall 2019,ENGR,1618,ENGR 1618,1000
266054,Fall 2019,ENGR,2350,ENGR 2350,2000
266054,Fall 2019,ENGR,2350,ENGR 2350,2000
271426,Spring 2020,BIOL,1009,BIOL 1009,1000
271426,Spring 2020,SOC,2208,SOC 2208,2000
271426,Fall 2019,CSUB,1029,CSUB 1029,1000
271426,Fall 2019,ENGL,2308,ENGL 2308,2000
271426,Fall 2019,HIST,1228,HIST 1228,1000
271426,Fall 2019,KINE,1527,KINE 1527,1000
271426,Fall 2019,PHIL,1019,PHIL 1019,1000
271426,Fall 2019,PHIL,2129,PHIL 2129,2000
271426,Spring 2020,ART,1009,ART 1009,1000
271426,Spring 2020,ART,1009,ART 1009,1000
271426,Spring 2020,BIOL,1009,BIOL 1009,1000
271426,Spring 2020,PSYC,1018,PSYC 1018,1000
271426,Spring 2020,COMM,1008,COMM 1008,1000
272344,Spring 2020,PSYC,2018,PSYC 2018,2000
272344,Spring 2020,COMM,1008,COMM 1008,1000
272344,Spring 2020,PHIL,1019,PHIL 1019,1000
272344,Spring 2020,CRJU,1108,CRJU 1108,1000
272344,Fall 2019,CSUB,1029,CSUB 1029,1000
272344,Fall 2019,ENGL,1109,ENGL 1109,1000
272344,Fall 2019,PHIL,2329,PHIL 2329,2000
272344,Fall 2019,PHYS,1609,PHYS 1609,1000
272344,Fall 2019,PHYS,1609,PHYS 1609,1000
272344,Fall 2019,PSYC,1018,PSYC 1018,1000
272344,Fall 2019,PSYC,2020,PSYC 2020,2000
272344,Spring 2020,HIST,1228,HIST 1228,1000
284397,Spring 2021,BIOL,1009,BIOL 1009,1000
284397,Fall 2020,ANTH,1109,ANTH 1109,1000
284397,Fall 2020,ART,1009,ART 1009,1000
284397,Fall 2020,ART,1009,ART 1009,1000
284397,Fall 2020,CSUB,1029,CSUB 1029,1000
284397,Fall 2020,ENGL,1109,ENGL 1109,1000
284397,Fall 2020,GEOL,1009,GEOL 1009,1000
284397,Fall 2020,GEOL,1009,GEOL 1009,1000
284397,Fall 2020,SOC,2208,SOC 2208,2000
284397,Spring 2021,THTR,1009,THTR 1009,1000
284397,Spring 2021,PSYC,1018,PSYC 1018,1000
284397,Spring 2021,PHIL,2329,PHIL 2329,2000
284397,Spring 2021,BIOL,1009,BIOL 1009,1000
