Random ID,Term,Course Abbrevation,Course Number,course,level
205827,Fall 2016,ATHL,1583,ATHL 1583,1000
205827,Fall 2016,HIST,1228,HIST 1228,1000
205827,Fall 2016,CSUB,1009,CSUB 1009,1000
205827,Fall 2016,SOC,1008,SOC 1008,1000
205827,Fall 2016,CAFS,2000,CAFS 2000,2000
205827,Fall 2016,MATH,930,MATH 930,0
246916,Fall 2018,ECE,1618,ECE 1618,1000
246916,Fall 2018,MATH,1050,MATH 1050,1000
246916,Fall 2018,MATH,1050,MATH 1050,1000
246916,Fall 2018,CMPS,2010,CMPS 2010,2000
246916,Fall 2018,CMPS,2010,CMPS 2010,2000
246916,Fall 2018,THTR,1009,THTR 1009,1000
246916,Fall 2018,ENGL,1109,ENGL 1109,1000
246916,Fall 2018,ECE,1618,ECE 1618,1000
266054,Fall 2019,CHEM,1001,CHEM 1001,1000
266054,Fall 2019,ENGR,1618,ENGR 1618,1000
266054,Fall 2019,ENGR,1618,ENGR 1618,1000
266054,Fall 2019,ENGR,2350,ENGR 2350,2000
266054,Fall 2019,ENGR,2350,ENGR 2350,2000
271426,Fall 2019,CSUB,1029,CSUB 1029,1000
271426,Fall 2019,ENGL,2308,ENGL 2308,2000
271426,Fall 2019,HIST,1228,HIST 1228,1000
271426,Fall 2019,KINE,1527,KINE 1527,1000
271426,Fall 2019,PHIL,1019,PHIL 1019,1000
271426,Fall 2019,PHIL,2129,PHIL 2129,2000
272344,Fall 2019,CSUB,1029,CSUB 1029,1000
272344,Fall 2019,ENGL,1109,ENGL 1109,1000
272344,Fall 2019,PHIL,2329,PHIL 2329,2000
272344,Fall 2019,PHYS,1609,PHYS 1609,1000
272344,Fall 2019,PHYS,1609,PHYS 1609,1000
272344,Fall 2019,PSYC,1018,PSYC 1018,1000
272344,Fall 2019,PSYC,2020,PSYC 2020,2000
284397,Fall 2020,ANTH,1109,ANTH 1109,1000
284397,Fall 2020,ART,1009,ART 1009,1000
284397,Fall 2020,ART,1009,ART 1009,1000
284397,Fall 2020,CSUB,1029,CSUB 1029,1000
284397,Fall 2020,ENGL,1109,ENGL 1109,1000
284397,Fall 2020,GEOL,1009,GEOL 1009,1000
284397,Fall 2020,GEOL,1009,GEOL 1009,1000
284397,Fall 2020,SOC,2208,SOC 2208,2000
284456,Fall 2020,CSUB,1029,CSUB 1029,1000
284456,Fall 2020,ENGL,950,ENGL 950,0
284456,Fall 2020,ENGL,1100,ENGL 1100,1000
284456,Fall 2020,MATH,1010,MATH 1010,1000
284456,Fall 2020,MATH,1010,MATH 1010,1000
284456,Fall 2020,THTR,1009,THTR 1009,1000
287296,Fall 2020,ANTH,1109,ANTH 1109,1000
287296,Fall 2020,CSUB,1029,CSUB 1029,1000
287296,Fall 2020,ENGL,1109,ENGL 1109,1000
287296,Fall 2020,KINE,1018,KINE 1018,1000
287296,Fall 2020,KINE,1515,KINE 1515,1000
287296,Fall 2020,PSYC,2018,PSYC 2018,2000
287296,Fall 2020,RS,1128,RS 1128,1000
289793,Fall 2020,CMPS,2010,CMPS 2010,2000
289793,Fall 2020,CMPS,2010,CMPS 2010,2000
289793,Fall 2020,CSUB,1029,CSUB 1029,1000
289793,Fall 2020,ECON,2028,ECON 2028,2000
289793,Fall 2020,ENGL,1109,ENGL 1109,1000
289793,Fall 2020,MATH,1050,MATH 1050,1000
289793,Fall 2020,MATH,1050,MATH 1050,1000
290720,Fall 2020,CSUB,1029,CSUB 1029,1000
290720,Fall 2020,ENGL,1109,ENGL 1109,1000
290720,Fall 2020,MUS,1039,MUS 1039,1000
290720,Fall 2020,SOC,1008,SOC 1008,1000
290720,Fall 2020,SOC,2208,SOC 2208,2000
290949,Fall 2021,CMPS,2010,CMPS 2010,2000
290949,Fall 2021,CMPS,2010,CMPS 2010,2000
290949,Fall 2021,ENGL,1109,ENGL 1109,1000
290949,Fall 2021,COMM,1008,COMM 1008,1000
290949,Fall 2021,CSUB,1029,CSUB 1029,1000
290949,Fall 2021,MATH,1050,MATH 1050,1000
290949,Fall 2021,MATH,1050,MATH 1050,1000
293831,Fall 2020,ATHL,1423,ATHL 1423,1000
293831,Fall 2020,CMPS,2010,CMPS 2010,2000
293831,Fall 2020,CMPS,2010,CMPS 2010,2000
293831,Fall 2020,CSUB,1029,CSUB 1029,1000
293831,Fall 2020,ENGL,1109,ENGL 1109,1000
293831,Fall 2020,MATH,2520,MATH 2520,2000
293831,Fall 2020,THTR,1109,THTR 1109,1000
294357,Fall 2020,KINE,1532,KINE 1532,1000
294357,Fall 2020,ART,1009,ART 1009,1000
294357,Fall 2020,ART,1009,ART 1009,1000
294357,Fall 2020,COMM,1008,COMM 1008,1000
294357,Fall 2020,CRJU,1108,CRJU 1108,1000
294357,Fall 2020,CSUB,1029,CSUB 1029,1000
294357,Fall 2020,ENGL,1109,ENGL 1109,1000
294399,Fall 2020,CRJU,1108,CRJU 1108,1000
294399,Fall 2020,CSUB,1029,CSUB 1029,1000
294399,Fall 2020,ENGL,1109,ENGL 1109,1000
294399,Fall 2020,ENGL,2070,ENGL 2070,2000
294399,Fall 2020,KINE,1018,KINE 1018,1000
294399,Fall 2020,KINE,1525,KINE 1525,1000
296878,Fall 2020,CHEM,1010,CHEM 1010,1000
296878,Fall 2020,COMM,1008,COMM 1008,1000
