Random ID,first_term,num_courses,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8
205827,Fall 2016,6,ATHL 1583,CAFS 2000,CSUB 1009,HIST 1228,MATH 930,SOC 1008,,
246916,Fall 2018,5,CMPS 2010,ECE 1618,ENGL 1109,MATH 1050,THTR 1009,,,
266054,Fall 2019,3,CHEM 1001,ENGR 1618,ENGR 2350,,,,,
271426,Fall 2019,6,CSUB 1029,ENGL 2308,HIST 1228,KINE 1527,PHIL 1019,PHIL 2129,,
272344,Fall 2019,6,CSUB 1029,ENGL 1109,PHIL 2329,PHYS 1609,PSYC 1018,PSYC 2020,,
284397,Fall 2020,6,ANTH 1109,ART 1009,CSUB 1029,ENGL 1109,GEOL 1009,SOC 2208,,
284456,Fall 2020,5,CSUB 1029,ENGL 1100,ENGL 950,MATH 1010,THTR 1009,,,
287296,Fall 2020,7,ANTH 1109,CSUB 1029,ENGL 1109,KINE 1018,KINE 1515,PSYC 2018,RS 1128,
289793,Fall 2020,5,CMPS 2010,CSUB 1029,ECON 2028,ENGL 1109,MATH 1050,,,
290720,Fall 2020,5,CSUB 1029,ENGL 1109,MUS 1039,SOC 1008,SOC 2208,,,
290949,Fall 2021,5,CMPS 2010,COMM 1008,CSUB 1029,ENGL 1109,MATH 1050,,,
293831,Fall 2020,6,ATHL 1423,CMPS 2010,CSUB 1029,ENGL 1109,MATH 2520,THTR 1109,,
294357,Fall 2020,6,ART 1009,COMM 1008,CRJU 1108,CSUB 1029,ENGL 1109,KINE 1532,,
294399,Fall 2020,6,CRJU 1108,CSUB 1029,ENGL 1109,ENGL 2070,KINE 1018,KINE 1525,,
296878,Fall 2020,5,CHEM 1010,COMM 1008,CSUB 1029,ENGL 1109,MATH 1010,,,
298231,Fall 2020,5,BA 1008,COMM 1008,CSUB 1029,ENGL 1109,MATH 2200,,,
298765,Fall 2020,4,CMPS 2010,COMM 1008,ECE 1618,MATH 1040,,,,
299500,Fall 2020,7,COMM 1008,CSUB 1029,ENGL 1109,GEOL 1009,KINE 1018,KINE 1542,SOC 1008,
301030,Spring 2021,2,HIST 1228,PSYC 2030,,,,,,
302114,Fall 2021,6,BIOL 1009,CAFS 2000,COMM 1008,CSUB 1029,ENGL 1109,ETHS 1208,,
302161,Fall 2021,8,BIOL 1009,COMM 1008,CSUB 1029,ENGL 1100,ENGL 950,KINE 1018,KINE 1547,MUS 1019
302194,Fall 2021,6,CSUB 1029,ENGL 1100,ENGL 950,MUS 1019,PSYC 2018,THTR 1009,,
302243,Fall 2021,5,BA 1008,COMM 1008,CSUB 1029,ENGL 1109,MATH 1010,,,
302280,Fall 2021,6,BA 1008,COMM 1008,CSUB 1029,ENGL 1100,ENGL 950,MATH 1010,,
302295,Fall 2021,5,BA 1008,CSUB 1029,MATH 2205,MIS 2000,PHIL 1019,,,
302305,Fall 2021,6,ART 1009,COMM 1008,CRJU 1108,CSUB 1029,ENGL 1109,ETHS 1208,,
302417,Fall 2021,7,ART 1009,CSUB 1029,ENGL 1109,KINE 1018,KINE 1503,KINE 1512,KINE 2018,
302432,Fall 2021,6,ATHL 1433,BA 1008,CSUB 1029,ENGL 1109,MATH 2205,MIS 2000,,
302438,Fall 2021,6,ART 1019,COMM 1008,CSUB 1029,PHIL 1319,PSYC 2020,SOC 2018,,
302667,Fall 2021,6,ART 1019,BIOL 1039,CRJU 1108,CSUB 1029,ENGL 1100,ENGL 950,,
302675,Fall 2021,5,COMM 1008,CSUB 1029,ENGL 1109,PSYC 1018,SOC 2018,,,
302722,Fall 2021,5,BA 1008,COMM 1008,CSUB 1029,ENGL 1109,MATH 1010,,,
303054,Fall 2021,6,BA 1008,COMM 1008,CSUB 1029,ECON 2018,MATH 2200,MIS 2000,,
304852,Fall 2021,7,CSUB 1029,ENGL 1109,KINE 1018,KINE 1020,KINE 1512,KINE 2018,MUS 1019,
304856,Fall 2021,6,CSUB 1029,ENGL 1109,KINE 1018,KINE 1535,KINE 2018,THTR 1009,,
304919,Fall 2021,6,ART 1009,BIOL 1039,COMM 1008,CRJU 1108,CSUB 1029,ENGL 1109,,
305096,Fall 2021,5,ART 1009,CMPS 2010,COMM 1008,CSUB 1029,PHIL 1019,,,
306053,Fall 2021,7,CSUB 1029,KINE 1018,KINE 1506,KINE 1537,MUS 1019,PSYC 2018,THTR 1009,
306571,Fall 2021,6,CHEM 1010,COMM 1008,CSUB 1029,ENGL 1109,GST 1210,MATH 1050,,
306613,Fall 2021,6,COMM 1008,CSUB 1029,ENGL 1109,GST 1110,PSYC 1018,PSYC 2018,,
307003,Fall 2021,6,ART 1009,CSUB 1029,ENGL 1109,KINE 1018,KINE 1502,KINE 2018,,
308119,Fall 2021,5,ART 1009,BA 1008,CSUB 1029,ENGL 1109,MATH 2200,,,
308547,Fall 2021,5,ART 1019,BIOL 1009,CSUB 1029,ENGL 1109,SOC 1008,,,
309232,Fall 2021,6,COMM 1008,CSUB 1029,ENGL 1109,MUS 1019,PSYC 1018,PSYC 2020,,
309498,Fall 2021,5,COMM 1008,CSUB 1029,ENGL 1109,GEOL 1009,KINE 1506,,,
309692,Fall 2021,6,CSUB 1029,ECON 2028,ENGL 1109,MATH 2200,MIS 2000,THTR 1109,,
